Username,Likes,Comments,Timestamp,Caption,TP_scores,EH_scores,ratings match?,avg,Number incorrect,
pure_soul_holistics,498,4,2019-07-26T15:16:05.000Z,"Almost 10 months ago, I gave birth to my 4th baby and first preemie. 👶🏽♥️
•
I thought I was a ‘seasoned momma’ and knew all about the newborn stage. Uhhhhhh NO. I learned very quickly that having a preemie was a completely different experience and I needed to learn fast! •
I have been grateful to have been able to nurse my other 3 babies with little issues so the plan was the same for my little Daniel only I couldn’t nurse a premature baby that needed a feeding tube and cpap device. •
This is where I became a pumping mom. I had never pumped like this previously. I only pumped to stash some in the freezer for times away. Once Daniel was about a month old we started triple feedings. This was beyond exhausting. I would nurse him, give him a bottle and then pump. We limited the time he nursed so he wasn’t working to hard as we were still trying to have him gain weight but then top him off with a bottle and pump to keep my supply up. I have to say it again I was exhausted!! I would stand at the sink for over an hour washing pump parts and bottles. I would cry while standing there because I was exhausted but grateful I was able to make milk for my son. •
To all you pumping, NICU, preemie, triple feeding mommas, I see you and feel you. You are working so hard and doing your best! Don’t give up! Your hard work will be rewarded! ♥️♥️♥️
•
“I can do all things through Christ who gives me strength.” Philippians‬ ‭4:13‬
•
•
#postpartum #postpartumdoula #postpartumbody #love #hardwork #pain #tears #joy #gratitude #babies #nicu #preemie #triplefeeding #breastmilk #colostrum #motherhood #mom #pumping #pumpingmom #family #newborn #nevergiveup #icandoallthings #scripture #godislove #iamstrong #instagood",3,3,correct,3,,
thebalancedboob,481,22,2021-08-14T16:19:07.000Z,"Mic drop. #lowmilksupplyawarenessday #igtandlowmilksupplysupportgroup #igtandlowmilksupply #igt #lowmilksupply #lowsupply #normalizebf #normalizebreastfeeding #worldbreastfeedingweek #wbfw #atbreastsupplementation #insufficientglandulartissue #breastfeeding #bf #perceivedlowmilksupply #ibclc #pacedbottlefeeding #lactaid #bottle #triplefeeding #breastfeedingproblems #lowmilkmama #breastfeeding #supplementalnursingsystem #postpartum #milkbank #lactationcookie #lactation #galactagogues #doula ⁠
1m",2,2,correct,2,,
halieannfox,445,13,2021-04-29T11:30:10.000Z,"What I actually do majority of the time 😅🍼 Fed is best! Whether you are exclusively pumping and bottle feeding, formula bottle feeding, breast feeding, or a combination of two or three of those things... you are doing amazing Mommas!

I pump about 7x a day and nurse each baby 1-2x. 

Sometimes they want a little bit more from a bottle because brother woke up and interrupted their nursing. Sometimes they’re totally happy & satisfied after nursing.

They both get 4oz of 22cal Neosure formula a day to pack some extra cals in to help with their preemie start at life (pediatricians orders).

So we balance all 3 - living that triple feeding life. It ain’t easy but my boys are happy & growing.

Reminder not to put too much pressure on yourself about milk supply. Of course you want to be able to feed your baby fully with your milk. But for some mamas (like me) it doesn’t always work out. I pump about 33-34oz a day on average. It would be plenty for one babe, but I’ve gotta feed two! They take 3oz bottles right now so I’d need 36oz minimum to fully feed them BM. I’m just a few Oz short, but the formula fills the gap and THAT IS OKAY!!! 🍼🙂

#fedisbest #fedisbestwhetherbottleorbreast #bottlefeeding #breastfeeding #triplefeeding #formula #preemies #34weekers #twins #thefoxtwins #twinmom #babymama #kylefoxphotography",3,3,correct,3,,
roadtorainbow,408,53,2022-05-23T18:19:20.000Z,"I love breastfeeding.

I remember a friend of mine asking if it hurt with Finn. “Oh no not at all!” 

And then came Liva. Our journey wasn’t easy, we started off in the NICU and every time she tried she only got 2-3 ml. Until I started using a shield and she took off. 

But then we started to deal with supply issues as a baby on a shield is not latched on. No one told me I still should be pumping in addition to using the shield.

So we tried to ditch the shield. And then.. it HURT. Cracked and bleeding and scabbed nipples. We were often both in tears.

I breastfed Finn til 2.5 and it was easy and beautiful. I told Tim this time: now I know why moms decide not to try anymore. 

Still, I was determined. Maybe a bit too much even, I could have gone easier on myself. But knowing what was up ahead and how beautiful this journey can be, I wasn’t ready to let go. 

Thanks to Dr. Newman’s clinic in Toronto we found out she had a posterior tongue tie and a minor lip tie. 

They also gave me Domperidone to increase my flow and supply, I never had supply issues but if the flow isn’t fast enough for the baby, they can’t empty your breast and then you start dealing with supply issues. So we increased the flow, got her tongue and lip tie lasered and even though her latch is still painful at times, we have a totally different baby.

From not being able to be put down or being held by anyone other than me, to happily going to others or having some floor time by herself.

From hour feeds to 15 minutes, from up all night to sleeping 6-8 hour stretches. 

And so, I get to enjoy the beauty again, the 3-4 months of struggles are now replaced by breastfeeding bliss. 

Fed is best, always. And I understand now from my own experience how hard it is. The worries about your baby not growing, the fussiness, the pain. 

Triple feeding (breast, bottle, pump) every feed, on top of a baby that only wanted me, is probably the hardest thing I’ve ever done. 

So I am proud of me, I am proud of her. And I am proud we’ve almost made it 6 months. And hopefully we still have a long blissful journey ahead 💛

Comment below how you are feeding your baby, to normalize all the different ways 💛🌈",3,3,correct,3,,
mistykingma,372,20,2021-01-22T00:28:53.000Z,"What have I been up to for the past month? TRIPLE FEEDING. That, my friends, is when you breast feed, bottle feed and pump milk every time your baby needs to eat. 8x per day. 

Lennox’s tongue is lacking in coordination so we gotta make sure he gets enough milk by breast AND bottle feeding. On the positive, I get lots of cuddles. 🥰 On the negative, it’s a full time job. 

We wouldn’t be surviving without our lactation consultant Shari. 🙌 All insurance covers in-home consultant appointments. Don’t hesitate. 🍼 

PS: I haven’t had more than 3 consecutive hours of sleep in over 5 weeks. Be gentle. 

#breastfeeding #newmomlife #triplefeeding #breastfeedingmom",3,1,incorrect,2,,
breastfeedingdoctor.uk,365,28,2024-09-03T22:53:44.000Z,"This is so important! 
I see mums every single day who needed to give formula to their babies (or so they were told) without being told to start pumping. In some cases this may lead to engorged breasts, blocked ducts, mastitis and ultimately low supply when the body doesn’t receive the right signals to make enough milk. It can be very difficult to rectify a low supply if there was a delay in milk removal early on. This is why, when there is a need to supplement, it is crucial to start pumping in order to provide the breast with extra stimulation and efficient milk removal. 

#pumpingmom #triplefeeding #breastfeedingdoctoruk #drsilbersteinclinic #breastmilkstorage #oversupply #engorgement #mastitis #blockedduct #breastmilksupply #lowsupply #ibclc #lactationconsultant",3,3,correct,3,,
thelactationmentor,346,64,2024-03-15T15:32:17.000Z,"I SAID WHAT I SAID — let me explain! 🚨🚩🚩

Let’s dive deeper into the triple feeding hustle—a routine that many breastfeeding parents find themselves caught in, often out of desperation to increase milk supply (and often recommended by a well-intentioned provider) and/or ensure baby’s weight gain. 🔄🍼⁣

Here’s the scoop: Triple feeding—nursing, supplementing with pumped milk or formula, and then pumping—can feel like a relentless cycle, leaving you exhausted and drained both physically and emotionally. 😓⁣

Instead of spinning your wheels with triple feeding, let’s explore some alternative tactics that can help alleviate the burden and promote a more sustainable breastfeeding journey. ⁣

Consider using a manual pump instead of an electric pump to reduce the time spent pumping and to encourage more efficient, quick milk removal. Another thought is to try pumping 30-60 minutes after nursing a few times per day (instead of every single feed) to take advantage of your body’s natural milk production cycle. 🕒🤱⁣

If supplementing with bottles, enlist the help of your partner or a friend to handle feedings, allowing you to focus on rest and recovery. 💖⁣

But MOST IMPORTANTLY -  seek individualized support from a lactation professional! Sometimes well-intentioned providers suggest triple feeding without offering follow-up or alternative solutions, leaving parents feeling overwhelmed and discouraged. Working on individual solutions can help you identify underlying issues, fine-tune your breastfeeding technique, and develop a more SUSTAINABLE feeding plan. 🌟⁣

Remember, breastfeeding is meant to be a nurturing and bonding experience for both you and your baby, not a relentless cycle of feeding and pumping that leaves you drained and defeated. By exploring aternative tactics and seeking support, you can find a more balanced and fulfilling approach to nourishing your little one AND nourish yourself. 💪💖⁣

Have you been told to triple feed? TELL ME about it below and let’s problem solve! ⤵️⤵️",1,1,correct,1,,
cradlednz,330,25,2021-07-10T20:11:44.000Z,"[ad]  So it turns out that you can have a special interest in breastfeeding medicine, be training towards your IBCLC and have lots of extra knowledge and skills with breastfeeding management - and still have a baby who doesn’t know how to breastfeed, and a body whose anatomy and physiology are slow to get on board with milk production.  So.  Frustrating. 

We’re in the early days still, but have been battling with milk being slow to come in, a baby with jaundice and >10% weight loss who has been too sleepy to latch and feed well, and some breast refusal.

When in this situation, it seems really overwhelming but the management comes back to a few simple principles. 
1) Feed the baby.  Baby needs volume and calories to grow, as well as clear the jaundice and become less sleepy to optimise feeding.  We are using my own expressed milk as well as donor breastmilk from a friend, but formula definitely has a role here too if extra human milk is unavailable.  We are using a mixture of top ups at the breast using a supply line/ supplemental nursing system, as well as a bottle with over bottle feeds (I’ll cover both in more detail later). 

2) Protect the milk supply.  Milk being removed from the breasts stimulates more milk to be produced.  If baby isn’t feeding effectively, using hand expression or a breast pump to remove more milk after feeds is really important.  We were lucky to be gifted a BelleMa Effective Pro by the lovely @morethanmilknz which has been invaluable over this time!  I’m also taking domperidone to try to increase my prolactin levels. 

3) Enjoy the baby and look after the mum (or breastfeeding parent). The “triple feeding” regime of breastfeed-top up-pump is GRUELLING and should only ever be a short term thing - make an exit plan with your LC/ midwife/ doctor so you are not stuck.  It’s also really important to prioritise baby cuddles (especially skin to skin!), sleep, nutrition and hydration, as well as small things to help your own mental health like having a shower or getting out of the house for a walk.  Popping baby in a carrier can help free up your hands and let you move around which means you feel less trapped.  You’ve got this. 

🤱🏻",2,3,incorrect,2.5,,
nourishtonurturenutrition,328,78,2023-01-24T02:22:51.000Z,"Triple feeding is something I’ve been coming across with parents I’m working with more lately. Often it’s suggested as a method to help with poor weight gain or feeding issues without addressing the underlying cause. Parents are often told to do this but there is no discussion around the amount of physical support they will need, an end date or if it even feels possible to do. 

I wanted to put this post together to raise awareness of what triple feeding is, because unless you have done it, many people aren’t aware of it or the cost of doing it. But also, to make sure that if you have been told to do this-make sure you have really good support from an IBCLC with ongoing medical follow up too. 

Many parents I work with have previously triple fed due to slow weight gain because of allergies. When we speak about their experience the trauma is clear. There are often tears and big emotions because it was exhausting and they felt like they couldn’t stop because their baby depending on them for it. There is guilt, shame and exhaustion there. If this is you, I want you to know, you did an incredible job feeding your baby.x

References in comments.",1,1,correct,1,,
abbykraftmac,327,42,2022-01-12T17:00:24.000Z,"Friends!! I could cry! Okay, I did cry. Ginny had a rough go with her revision surgery yesterday. BUT we had a follow up with my favorite lactation consultant this morning and Gin nursed 3 oz!!!!! I honestly don’t think Hadley ever got that amount straight from me, and it’s not nearly as much as Ginny got before my supply dipped, but it’s a HUGE improvement. So much so that @dlslomba said I can cut pumps back to two per day (as opposed to ~8 😅)!!! 

We have been working SO hard for this little lady to hopefully be able to breastfeed for a long, long time, and today I finally saw the light at the end of the tunnel. Obviously she’s still recovering from surgery so it will be up and down and I’ll have to pump anytime she feeds poorly, but I finally have hope that she will have enough to eat straight from me. For now I’ll take great pride in my freezer stash and pour one out for dairy and coffee cause I miss them a lot. 🤣",3,2,incorrect,2.5,,
kathrynstaggibclc,324,8,2024-07-28T17:15:49.000Z,"The top-up trap.

A large proportion of the breastfeeding support I do is to help families get out of the Top Up Trap. 

The top up trap defined: Parents feel there is not enough milk (or someone suggests there isn't enough if there are weight issues), parents give formula, baby feels over full and sleeps more, baby comes to the breast less, breasts then make less milk because they are being stimulated less frequently, which means parents lose even more confidence in milk supply and the cycle continues and spirals.

Topping up is started for all sorts of reasons: blood sugar issues, weight loss issues, not enough weight gain issues, misunderstanding normal newborn behaviours like cluster feeding, society, scheduled feeds, routines, lack of confidence in breastfeeding and lack of support. 

Some of these babies genuinely need top ups, but so often, parents are not supported with what to do next, how to tell if the baby continues to need extra milk and how to stop! How milk production works is not explained, and pumping some of this wxtra milk to protect supply is often not discussed, so essential if the goal is to exclusively breastfeed.

Some babies do not even need top ups in the first place, and with good information and support, the parents would have understood how to tell that baby was, in fact, getting enough milk. 

So if you have found yourself in this position, topping up after all or most feeds and don't know how to stop, please seek some breastfeeding support to help you bring it back on course. IBCLCs and breastfeeding counsellors are very experienced at helping people in this scenario.",2,1,incorrect,1.5,,
lalactation,291,16,2022-11-30T16:22:26.000Z,"Breastfeeding is half science and half art. The principles of that science are the same for every person, but sometimes the experimental design looks a little different when put into practice. The art of breastfeeding is as varied as art itself. We have all been given different tools, materials, and education on how to use those tools and materials. Trying to exactly copy someone else’s work will be frustrating if you don’t have the same resources. But there can be joy in learning to use what you do have. In the end, our breastfeeding journey could look like a Renoir or a Picasso. Both are beautiful and powerful in their own, unique way. To compare them and see one as “better” than the other is to wrongfully discredit the artist. And to discredit the art is to fail to realize that the masterpiece you have created is your child. 

Your breastfeeding journey is supposed to look like YOUR breastfeeding journey. Don’t worry if it doesn’t look like some one else’s.  Whether breast milk is some, part, or all of your child’s nutrition, keep creating. Be proud of what you’re creating and don’t let anyone’s opinion about your art matter except yours. 

Breastfeeding is half science and half art. But not science like chemistry where measurements need to be precise and mistakes can be made. Science like architecture. Every child needs a nutritional foundation and beams to support their growth and development. You as a parent are that foundation regardless of how or what you chose to feed your child. Whether some, part, or all of your baby’s nutrition, breast milk is building a strong structure. What that structure looks like is dependent on genetics, personality, and parenting. 

#breastfeedingjourney #breastfeedingishard #breastfeedingislove #breastfeedingissues #exclusivelypumping #exclusivepumping #lactationhelp #triplefeeding #triplefeedingissoexhausting #bottlebaby #bottlebabies #treeoflifebreastfeeding",2,2,correct,2,,
beaugenmom,272,53,2021-07-21T22:43:07.000Z,"Any triple feeding mamas here? ⁠
⁠
Triple feeding consists of pumping, nursing and bottle feeding ❤️❤️❤️⁠
⁠
📹: @lowsupplymom",3,2,incorrect,2.5,,
latch.ie,271,42,2024-03-11T13:30:59.000Z,"I'm so excited to share that I have finally published a paper from my MSc. research in UCD on women's experiences of breastfeeding with primary low milk supply. It was important to me to have the research peer-reviewed and published in an academic journal, because that means that the findings can be used to inform policies, guidelines and practices around the provision of support for mothers breastfeeding with primary low milk supply. This was my goal when I decided 4 years ago that I wanted to undertake this research.

This paper concluded that

● breastfeeding mothers with primary low milk supply (PLMS) may experience a range of emotions such as guilt, anger, sadness, anxiety and disappointment 
● women with PLMS may experience acute anxiety - for some this anxiety was so great that they feared they would lose custody of their babies
● the combination of having PLMS and triple feeding can have a detrimental impact on a mother's mental health
● triple feeding can completely dominate a mother's life in the postpartum period and even get in the way of her being able to enjoy and bond with her baby
● mothers with PLMS struggled to find help and support and were frustrated by conflicting information from HCPs
● mothers with PLMS need clear, non-judgemental and evidence-based information from HCPs and IBCLCs on the use of infant formula 

HCPs and IBCLCs need to give greater consideration to a mother's emotional wellbeing and mental health when providing support for PLMS. They also need to acknowledge the embodied desire to breastfeed that some mother have. HCPs and IBCLCs should address the PLMS in antenatal breastfeeding classes, and they should receive training on PLMS and how to provide sensitive and individualised support. 

https://www.liebertpub.com/doi/10.1089/bfm.2023.0231?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub++0pubmed

#breastfeeding #lactation #breastfeedingresearch #triplefeeding #lowmilksupply #insufficientglandulartissue #IBCLC",2,1,incorrect,1.5,,
davinandadley,267,7,2021-04-26T00:15:52.000Z,"“𝗡𝗼𝗿𝗺𝗮𝗹𝗶𝘇𝗲 𝗯𝗿𝗲𝗮𝘀𝘁𝗳𝗲𝗲𝗱𝗶𝗻𝗴. But not even just that, normalize how 𝗛𝗔𝗥𝗗 breastfeeding can be.⁣
⁣
I see photos like this of others and think “wow that looks so easy” but that’s not the case for a lot of us mamas, including me.⁣
⁣
In these photos, the boys didn’t have great latches. Everett was kinda chompy and Landon wasn’t deep enough + was hurting my nipple lol. But they were getting milk (I felt a let down).⁣
⁣
Truth is, I did it for the photos. I’ve nursed maybe 3-4 times like this, with little success. I like to nurse them solo so I have better control & can get a better latch.⁣
⁣
Sometimes we have a great session & they’re satisfied. ⁣
⁣
Sometimes they are so hangry that their arms are flailing and I can’t get them to latch well enough and we both get frustrated. ⁣
⁣
Sometimes it doesn’t feel right and I have to relatch ten times. ⁣
⁣
Sometimes they cry because the milk isn’t immediate like a bottle. ⁣
⁣
But I will never stop 𝘁𝗿𝘆𝗶𝗻𝗴, at least once a day, because the bond and the one on one time is too special. I love their warm little bodies against mine and their smiles when they start to fall asleep nursing. ⁣
⁣
𝘐 𝘸𝘢𝘯𝘵 𝘵𝘰 𝘳𝘦𝘮𝘦𝘮𝘦𝘣𝘳 𝘵𝘩𝘦𝘴𝘦 𝘮𝘰𝘮𝘦𝘯𝘵𝘴 𝘢𝘯𝘥 𝘥𝘢𝘺𝘴 𝘧𝘰𝘳𝘦𝘷𝘦𝘳.⁣
⁣
I asked Kyle to take these photos so I can look back at the beginning and remember how small they were and how tough things were, with the hope that tandem breastfeeding will eventually get easier for us. (It’s hard as it is nursing with large boobs, now add in trying to support + keep latched two newborns... it’s not easy.)⁣” @quadslikehalie 
⁣
#howdoyoubreastfeed 
#normalizebreastfeeding #tandemnursing #tandembreastfeeding #twins #thefoxtwins #twinzpillow #twinlife #twinmomma #pumpingmom #triplefeeding #newborns #kylefoxphotography",2,2,correct,2,,
samantha_nels0n,265,38,2021-01-11T22:09:23.000Z,"Today was by far the most challenging day.
I’m sleep deprived and mentally foggy.
We started the day off with zero sleep 🤪😴
Someone who was refusing to eat (not me💁🏽‍♀️)
I was peed on, pooped on & spilt 2 ounces of milk all over me, Noah & the nursing pillow. Not sure who ever came up with the phrase “Don’t cry over spilt milk” but they clearly weren’t a sleep deprived, struggling to BF mom who has been working hard for every drop of milk!🤨

Even in the midst of tears - from both of us. I stared at this little boy and felt love. Pure love.

Sometimes the days are hard but this phase will pass and tomorrow will be a better day! This little man runs the show and we are learning how to work together.

Ending the day with skin to skin to sync back up together.🤍

Mamas I see you. I feel you. I am you. We got this🙌🏽
#sharethehard",2,2,correct,2,,
lifewithmyrainbow,261,21,2022-12-12T18:03:23.000Z,"Breastfeeding/pumping journey update. Swipe to read it all.
.
.
.
.
.
.
.
#breastfeeding #breastfeedingmama #breastfeedingjourney #pumping #pumpingjourney #lowmilksupply #milksupply #breastmilk #breastmilksupply #increasemilksupply #babyfeeding #feedingbaby #triplefeeding",2,2,correct,2,,
olivia_lactation_consultant,247,73,2022-05-24T10:37:37.000Z,"Is determination key to successful breastfeeding?•

A brain fart of my thoughts, yes, no, maybe, ah not at all. There is no right or wrong and with all things feeding our children it's all about individual circumstances, beliefs, support systems

Sorry lost my thread a bit at the end, my koala returned 🥰

I'd love to hear your thoughts about it?

#lactationeducation #lowmilksupply #antenataleducation #determinationabdmakingmilk #breastfeeding #pumping #domperidone #triplefeeding #ibclc #lactationconsultant",2,2,correct,2,,
